strain,effect_1,effect_2,effect_3,effect_4,effect_5,medical_1,medical_2,medical_3,medical_4,medical_5,negative_1,negative_2,negative_3,negative_4,negative_5,flavor_1,flavor_2,flavor_3,category,combined
super sour og,happy,euphoric,relaxed,talkative,hungry,stress,inflammation,lackofappetite,pain,insomnia,dryeyes,drymouth,dizzy,none,none,blueberry,citrus,diesel,hybrid,"happy, euphoric, relaxed, talkative, hungry, stress, inflammation, lackofappetite, pain, insomnia, dryeyes, drymouth, dizzy, none, none, blueberry, citrus, diesel, hybrid"
super sour skunk,happy,uplifted,talkative,euphoric,relaxed,stress,depression,eyepressure,insomnia,headaches,dryeyes,drymouth,anxious,paranoid,dizzy,flowery,spicy/herbal,citrus,hybrid,"happy, uplifted, talkative, euphoric, relaxed, stress, depression, eyepressure, insomnia, headaches, dryeyes, drymouth, anxious, paranoid, dizzy, flowery, spicy/herbal, citrus, hybrid"
super sour widow,happy,uplifted,euphoric,energetic,focused,fatigue,stress,eyepressure,pain,depression,drymouth,anxious,dryeyes,dizzy,paranoid,sweet,spicy/herbal,citrus,hybrid,"happy, uplifted, euphoric, energetic, focused, fatigue, stress, eyepressure, pain, depression, drymouth, anxious, dryeyes, dizzy, paranoid, sweet, spicy/herbal, citrus, hybrid"
super sweet,giggly,happy,euphoric,uplifted,talkative,stress,depression,fatigue,cramps,inflammation,anxious,none,none,none,none,sweet,flowery,honey,hybrid,"giggly, happy, euphoric, uplifted, talkative, stress, depression, fatigue, cramps, inflammation, anxious, none, none, none, none, sweet, flowery, honey, hybrid"
supergirl,relaxed,happy,sleepy,euphoric,hungry,stress,insomnia,depression,pain,fatigue,dryeyes,drymouth,paranoid,none,none,earthy,spicy/herbal,pine,indica,"relaxed, happy, sleepy, euphoric, hungry, stress, insomnia, depression, pain, fatigue, dryeyes, drymouth, paranoid, none, none, earthy, spicy/herbal, pine, indica"
superglue,relaxed,happy,euphoric,uplifted,focused,stress,pain,depression,insomnia,nausea,drymouth,dryeyes,anxious,paranoid,dizzy,earthy,pine,pungent,hybrid,"relaxed, happy, euphoric, uplifted, focused, stress, pain, depression, insomnia, nausea, drymouth, dryeyes, anxious, paranoid, dizzy, earthy, pine, pungent, hybrid"
superman og,euphoric,relaxed,happy,sleepy,giggly,pain,stress,depression,insomnia,musclespasms,drymouth,paranoid,anxious,headache,dryeyes,skunk,woody,earthy,indica,"euphoric, relaxed, happy, sleepy, giggly, pain, stress, depression, insomnia, musclespasms, drymouth, paranoid, anxious, headache, dryeyes, skunk, woody, earthy, indica"
supermax og,relaxed,euphoric,happy,uplifted,sleepy,headaches,pain,stress,lackofappetite,insomnia,dryeyes,drymouth,dizzy,headache,none,citrus,pine,flowery,hybrid,"relaxed, euphoric, happy, uplifted, sleepy, headaches, pain, stress, lackofappetite, insomnia, dryeyes, drymouth, dizzy, headache, none, citrus, pine, flowery, hybrid"
supernatural,euphoric,relaxed,happy,uplifted,creative,stress,pain,fatigue,depression,headaches,dryeyes,drymouth,none,none,none,citrus,earthy,flowery,sativa,"euphoric, relaxed, happy, uplifted, creative, stress, pain, fatigue, depression, headaches, dryeyes, drymouth, none, none, none, citrus, earthy, flowery, sativa"
supernova,relaxed,euphoric,happy,sleepy,uplifted,pain,insomnia,stress,depression,headaches,drymouth,dryeyes,dizzy,anxious,headache,citrus,earthy,sweet,hybrid,"relaxed, euphoric, happy, sleepy, uplifted, pain, insomnia, stress, depression, headaches, drymouth, dryeyes, dizzy, anxious, headache, citrus, earthy, sweet, hybrid"
superstar,euphoric,uplifted,happy,creative,energetic,depression,stress,musclespasms,pain,fatigue,drymouth,dizzy,dryeyes,anxious,paranoid,citrus,earthy,flowery,hybrid,"euphoric, uplifted, happy, creative, energetic, depression, stress, musclespasms, pain, fatigue, drymouth, dizzy, dryeyes, anxious, paranoid, citrus, earthy, flowery, hybrid"
suver haze,relaxed,happy,euphoric,creative,uplifted,stress,depression,inflammation,pain,lackofappetite,none,none,none,none,none,citrus,earthy,sweet,hybrid,"relaxed, happy, euphoric, creative, uplifted, stress, depression, inflammation, pain, lackofappetite, none, none, none, none, none, citrus, earthy, sweet, hybrid"
suzy q,relaxed,uplifted,hungry,sleepy,euphoric,pain,stress,musclespasms,inflammation,fatigue,drymouth,dryeyes,headache,none,none,earthy,pine,spicy/herbal,hybrid,"relaxed, uplifted, hungry, sleepy, euphoric, pain, stress, musclespasms, inflammation, fatigue, drymouth, dryeyes, headache, none, none, earthy, pine, spicy/herbal, hybrid"
swazi gold,euphoric,relaxed,talkative,energetic,giggly,depression,stress,pain,nausea,insomnia,drymouth,dryeyes,anxious,paranoid,dizzy,earthy,spicy/herbal,citrus,sativa,"euphoric, relaxed, talkative, energetic, giggly, depression, stress, pain, nausea, insomnia, drymouth, dryeyes, anxious, paranoid, dizzy, earthy, spicy/herbal, citrus, sativa"
sweet amnesia haze,happy,energetic,euphoric,focused,creative,depression,fatigue,lackofappetite,pain,stress,drymouth,dryeyes,none,none,none,earthy,sweet,woody,sativa,"happy, energetic, euphoric, focused, creative, depression, fatigue, lackofappetite, pain, stress, drymouth, dryeyes, none, none, none, earthy, sweet, woody, sativa"
sweet and sour widow,relaxed,uplifted,energetic,happy,focused,depression,stress,lackofappetite,pain,insomnia,drymouth,dizzy,dryeyes,headache,paranoid,pine,citrus,earthy,indica,"relaxed, uplifted, energetic, happy, focused, depression, stress, lackofappetite, pain, insomnia, drymouth, dizzy, dryeyes, headache, paranoid, pine, citrus, earthy, indica"
sweet baby jane,happy,giggly,relaxed,sleepy,hungry,stress,insomnia,pain,depression,fatigue,drymouth,anxious,dryeyes,paranoid,headache,sage,citrus,sweet,indica,"happy, giggly, relaxed, sleepy, hungry, stress, insomnia, pain, depression, fatigue, drymouth, anxious, dryeyes, paranoid, headache, sage, citrus, sweet, indica"
sweet berry,relaxed,uplifted,happy,focused,creative,spasticity,fatigue,pain,stress,none,drymouth,anxious,paranoid,none,none,berry,sweet,blueberry,hybrid,"relaxed, uplifted, happy, focused, creative, spasticity, fatigue, pain, stress, none, drymouth, anxious, paranoid, none, none, berry, sweet, blueberry, hybrid"
sweet black angel,sleepy,relaxed,euphoric,happy,hungry,pain,depression,insomnia,stress,inflammation,drymouth,dryeyes,none,none,none,berry,sweet,pine,indica,"sleepy, relaxed, euphoric, happy, hungry, pain, depression, insomnia, stress, inflammation, drymouth, dryeyes, none, none, none, berry, sweet, pine, indica"
sweet cheese,uplifted,relaxed,giggly,focused,aroused,stress,depression,pain,nausea,lackofappetite,dizzy,drymouth,dryeyes,paranoid,anxious,cheese,sweet,pungent,sativa,"uplifted, relaxed, giggly, focused, aroused, stress, depression, pain, nausea, lackofappetite, dizzy, drymouth, dryeyes, paranoid, anxious, cheese, sweet, pungent, sativa"
sweet cindy,creative,hungry,talkative,none,none,depression,insomnia,nausea,pain,stress,anxious,paranoid,none,none,none,none,none,none,hybrid,"creative, hungry, talkative, none, none, depression, insomnia, nausea, pain, stress, anxious, paranoid, none, none, none, none, none, none, hybrid"
sweet deep grapefruit,relaxed,sleepy,hungry,euphoric,happy,stress,pain,lackofappetite,insomnia,fatigue,drymouth,dryeyes,paranoid,none,none,citrus,sweet,berry,indica,"relaxed, sleepy, hungry, euphoric, happy, stress, pain, lackofappetite, insomnia, fatigue, drymouth, dryeyes, paranoid, none, none, citrus, sweet, berry, indica"
sweet diesel,energetic,happy,creative,uplifted,talkative,fatigue,pain,depression,headaches,lackofappetite,anxious,drymouth,headache,dryeyes,paranoid,diesel,sweet,earthy,sativa,"energetic, happy, creative, uplifted, talkative, fatigue, pain, depression, headaches, lackofappetite, anxious, drymouth, headache, dryeyes, paranoid, diesel, sweet, earthy, sativa"
sweet dream,relaxed,euphoric,happy,focused,sleepy,depression,insomnia,pain,nausea,inflammation,drymouth,dryeyes,anxious,dizzy,paranoid,earthy,berry,chemical,hybrid,"relaxed, euphoric, happy, focused, sleepy, depression, insomnia, pain, nausea, inflammation, drymouth, dryeyes, anxious, dizzy, paranoid, earthy, berry, chemical, hybrid"
sweet dreams,relaxed,sleepy,happy,talkative,euphoric,stress,insomnia,pain,depression,fatigue,drymouth,dryeyes,anxious,dizzy,headache,skunk,pungent,sweet,hybrid,"relaxed, sleepy, happy, talkative, euphoric, stress, insomnia, pain, depression, fatigue, drymouth, dryeyes, anxious, dizzy, headache, skunk, pungent, sweet, hybrid"
sweet harlem diesel,aroused,creative,euphoric,happy,relaxed,depression,fatigue,inflammation,lackofappetite,pain,drymouth,dryeyes,none,none,none,pear,citrus,diesel,hybrid,"aroused, creative, euphoric, happy, relaxed, depression, fatigue, inflammation, lackofappetite, pain, drymouth, dryeyes, none, none, none, pear, citrus, diesel, hybrid"
sweet hawaiian tangie banana,happy,relaxed,none,none,none,eyepressure,headaches,insomnia,lackofappetite,pain,none,none,none,none,none,citrus,sweet,tropical,hybrid,"happy, relaxed, none, none, none, eyepressure, headaches, insomnia, lackofappetite, pain, none, none, none, none, none, citrus, sweet, tropical, hybrid"
sweet jane,happy,aroused,hungry,relaxed,sleepy,depression,pain,fatigue,stress,lackofappetite,drymouth,headache,none,none,none,rose,citrus,sweet,sativa,"happy, aroused, hungry, relaxed, sleepy, depression, pain, fatigue, stress, lackofappetite, drymouth, headache, none, none, none, rose, citrus, sweet, sativa"
sweet jesus,energetic,happy,focused,relaxed,euphoric,depression,eyepressure,stress,fatigue,headaches,dryeyes,drymouth,none,none,none,tropical,none,none,sativa,"energetic, happy, focused, relaxed, euphoric, depression, eyepressure, stress, fatigue, headaches, dryeyes, drymouth, none, none, none, tropical, none, none, sativa"
sweet kush,relaxed,sleepy,happy,hungry,creative,stress,depression,pain,headaches,nausea,dryeyes,drymouth,dizzy,paranoid,anxious,sweet,lemon,pine,hybrid,"relaxed, sleepy, happy, hungry, creative, stress, depression, pain, headaches, nausea, dryeyes, drymouth, dizzy, paranoid, anxious, sweet, lemon, pine, hybrid"
sweet lafayette,relaxed,happy,euphoric,uplifted,aroused,stress,depression,pain,headaches,insomnia,dizzy,dryeyes,drymouth,headache,none,chestnut,earthy,pine,indica,"relaxed, happy, euphoric, uplifted, aroused, stress, depression, pain, headaches, insomnia, dizzy, dryeyes, drymouth, headache, none, chestnut, earthy, pine, indica"
sweet nina,happy,relaxed,euphoric,focused,uplifted,stress,inflammation,nausea,pain,depression,anxious,dizzy,paranoid,dryeyes,none,diesel,skunk,tar,hybrid,"happy, relaxed, euphoric, focused, uplifted, stress, inflammation, nausea, pain, depression, anxious, dizzy, paranoid, dryeyes, none, diesel, skunk, tar, hybrid"
sweet pebbles,creative,happy,relaxed,euphoric,uplifted,inflammation,pain,lackofappetite,depression,stress,none,none,none,none,none,sweet,berry,citrus,hybrid,"creative, happy, relaxed, euphoric, uplifted, inflammation, pain, lackofappetite, depression, stress, none, none, none, none, none, sweet, berry, citrus, hybrid"
sweet pure cbd,relaxed,sleepy,creative,euphoric,none,none,none,none,none,none,dryeyes,none,none,none,none,berry,blueberry,sweet,hybrid,"relaxed, sleepy, creative, euphoric, none, none, none, none, none, none, dryeyes, none, none, none, none, berry, blueberry, sweet, hybrid"
sweet skunk,creative,uplifted,energetic,talkative,relaxed,pain,stress,depression,insomnia,nausea,drymouth,anxious,dizzy,headache,dryeyes,citrus,earthy,lemon,hybrid,"creative, uplifted, energetic, talkative, relaxed, pain, stress, depression, insomnia, nausea, drymouth, anxious, dizzy, headache, dryeyes, citrus, earthy, lemon, hybrid"
sweet tooth,relaxed,euphoric,happy,uplifted,sleepy,stress,pain,depression,insomnia,lackofappetite,drymouth,dryeyes,dizzy,paranoid,anxious,sweet,flowery,earthy,indica,"relaxed, euphoric, happy, uplifted, sleepy, stress, pain, depression, insomnia, lackofappetite, drymouth, dryeyes, dizzy, paranoid, anxious, sweet, flowery, earthy, indica"
sweet valley kush,euphoric,none,none,none,none,headaches,inflammation,insomnia,lackofappetite,pain,none,none,none,none,none,earthy,sweet,none,hybrid,"euphoric, none, none, none, none, headaches, inflammation, insomnia, lackofappetite, pain, none, none, none, none, none, earthy, sweet, none, hybrid"
sweeties,energetic,aroused,euphoric,happy,relaxed,stress,pain,depression,fatigue,seizures,drymouth,none,none,none,none,flowery,lavender,spicy/herbal,hybrid,"energetic, aroused, euphoric, happy, relaxed, stress, pain, depression, fatigue, seizures, drymouth, none, none, none, none, flowery, lavender, spicy/herbal, hybrid"
swiss bliss,euphoric,uplifted,happy,creative,relaxed,stress,depression,pain,fatigue,lackofappetite,drymouth,dryeyes,dizzy,paranoid,anxious,earthy,citrus,grapefruit,hybrid,"euphoric, uplifted, happy, creative, relaxed, stress, depression, pain, fatigue, lackofappetite, drymouth, dryeyes, dizzy, paranoid, anxious, earthy, citrus, grapefruit, hybrid"
swiss gold,focused,relaxed,happy,euphoric,uplifted,inflammation,fatigue,musclespasms,seizures,pain,drymouth,dizzy,dryeyes,anxious,paranoid,citrus,diesel,earthy,sativa,"focused, relaxed, happy, euphoric, uplifted, inflammation, fatigue, musclespasms, seizures, pain, drymouth, dizzy, dryeyes, anxious, paranoid, citrus, diesel, earthy, sativa"
swiss tsunami,relaxed,happy,uplifted,energetic,talkative,stress,depression,fatigue,pain,headaches,dryeyes,drymouth,headache,none,none,citrus,earthy,orange,sativa,"relaxed, happy, uplifted, energetic, talkative, stress, depression, fatigue, pain, headaches, dryeyes, drymouth, headache, none, none, citrus, earthy, orange, sativa"
tahoe alien,happy,relaxed,euphoric,tingly,uplifted,stress,pain,depression,insomnia,lackofappetite,dryeyes,drymouth,paranoid,anxious,none,earthy,woody,pine,hybrid,"happy, relaxed, euphoric, tingly, uplifted, stress, pain, depression, insomnia, lackofappetite, dryeyes, drymouth, paranoid, anxious, none, earthy, woody, pine, hybrid"
tahoe frostbite,happy,energetic,giggly,aroused,euphoric,none,none,none,none,none,drymouth,dizzy,dryeyes,none,none,none,none,none,hybrid,"happy, energetic, giggly, aroused, euphoric, none, none, none, none, none, drymouth, dizzy, dryeyes, none, none, none, none, none, hybrid"
tahoe hydro champagne,uplifted,creative,euphoric,hungry,happy,depression,stress,lackofappetite,cramps,fatigue,drymouth,none,none,none,none,flowery,butter,cheese,hybrid,"uplifted, creative, euphoric, hungry, happy, depression, stress, lackofappetite, cramps, fatigue, drymouth, none, none, none, none, flowery, butter, cheese, hybrid"
tahoe hydro og,euphoric,relaxed,happy,tingly,hungry,stress,pain,lackofappetite,depression,insomnia,dizzy,dryeyes,drymouth,paranoid,anxious,lemon,earthy,diesel,hybrid,"euphoric, relaxed, happy, tingly, hungry, stress, pain, lackofappetite, depression, insomnia, dizzy, dryeyes, drymouth, paranoid, anxious, lemon, earthy, diesel, hybrid"
tahoe purps,relaxed,sleepy,creative,happy,hungry,stress,depression,insomnia,lackofappetite,none,anxious,drymouth,none,none,none,earthy,woody,citrus,indica,"relaxed, sleepy, creative, happy, hungry, stress, depression, insomnia, lackofappetite, none, anxious, drymouth, none, none, none, earthy, woody, citrus, indica"
taliban poison,hungry,aroused,sleepy,giggly,happy,cramps,depression,musclespasms,nausea,pain,dizzy,drymouth,headache,paranoid,none,diesel,pine,skunk,indica,"hungry, aroused, sleepy, giggly, happy, cramps, depression, musclespasms, nausea, pain, dizzy, drymouth, headache, paranoid, none, diesel, pine, skunk, indica"
tangelo,happy,giggly,euphoric,focused,energetic,depression,inflammation,fatigue,pain,stress,drymouth,paranoid,anxious,none,none,orange,citrus,sweet,hybrid,"happy, giggly, euphoric, focused, energetic, depression, inflammation, fatigue, pain, stress, drymouth, paranoid, anxious, none, none, orange, citrus, sweet, hybrid"
tangelo kush,relaxed,sleepy,giggly,uplifted,talkative,depression,insomnia,pain,none,none,drymouth,paranoid,none,none,none,peach,citrus,orange,hybrid,"relaxed, sleepy, giggly, uplifted, talkative, depression, insomnia, pain, none, none, drymouth, paranoid, none, none, none, peach, citrus, orange, hybrid"
tangerine,relaxed,happy,euphoric,uplifted,focused,stress,depression,fatigue,insomnia,pain,drymouth,paranoid,anxious,dryeyes,dizzy,orange,citrus,sweet,hybrid,"relaxed, happy, euphoric, uplifted, focused, stress, depression, fatigue, insomnia, pain, drymouth, paranoid, anxious, dryeyes, dizzy, orange, citrus, sweet, hybrid"
tangerine dream,happy,relaxed,energetic,uplifted,euphoric,stress,pain,depression,fatigue,inflammation,drymouth,dryeyes,dizzy,headache,anxious,citrus,orange,sweet,hybrid,"happy, relaxed, energetic, uplifted, euphoric, stress, pain, depression, fatigue, inflammation, drymouth, dryeyes, dizzy, headache, anxious, citrus, orange, sweet, hybrid"
